national_material_code,cpse,legacy_material_code,legacy_description,legacy_uom,mapped_at
NMC-ELEC-CONTR-14066646,IOCL,RM-00081,Contactor – 65 A – 3 pole – 230 V AC,EA,2026-09-04T14:30:21
NMC-ELEC-CONTR-14066646,SAIL,S100518,CONTACTOR / 3 pole / 230 V AC / 65 A,NUM,2026-09-04T14:30:21
NMC-ELEC-MCB-E7B6F1C3,IOCL,RM-00084,Mcb – 63 A – 4P – 415 V – C curve,EA,2026-09-04T14:30:21
NMC-ELEC-MCB-E7B6F1C3,NTPC,EGW000077,"Mcb, C curve, 63 A, 415 V, 4P",NOS.,2026-09-04T14:30:21
NMC-ELEC-CONTR-DADD3F34,IOCL,RM-00082,Contactor – 230 V AC – 65 A – 4 pole,EA,2026-09-04T14:30:21
NMC-ELEC-CONTR-DADD3F34,SAIL,S100532,CONTACTOR / 4 pole / 65 A / 230 V AC,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-5B1C0A27,IOCL,RM-00016,Hex Nut – Hot Dip Galvanised – M12 – 8 – DIN 934,EA,2026-09-04T14:30:21
NMC-FAST-NUT-5B1C0A27,NTPC,EGW000015,"Hex Nut, H.D.G., M12, Gr.8, DIN 934",NOS.,2026-09-04T14:30:21
NMC-FAST-NUT-5B1C0A27,SAIL,S100077,HEX NUT / M12 / DIN-934 / GALVANIZED / 8 GR,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-5B1C0A27,SAIL,S100084,HEX NUT / 8 GR / DIN-934 / GALVANIZED / M12,NUM,2026-09-04T14:30:21
NMC-FAST-NUT-49C27164,IOCL,RM-00018,Hex Nut – Hot Dip Galvanised – 8 – M20 – DIN 934,EA,2026-09-04T14:30:21
NMC-FAST-NUT-49C27164,NTPC,EGW000018,"Hex Nut, DIN 934, M20, H.D.G., Gr.8",NOS.,2026-09-04T14:30:21
NMC-FAST-NUT-49C27164,SAIL,S100105,HEX NUT / 8 GR / DIN-934 / GALVANIZED / M20,NUM,2026-09-04T14:30:21
NMC-LUB-GREASE-C5B29763,NTPC,EGW000079,"Grease, 5 kg, NLGI 3, Lithium",PACK,2026-09-04T14:30:21
NMC-LUB-GREASE-C5B29763,SAIL,S100560,GREASE / NLGI 3 / 5 kg / LITHIUM,PKTS,2026-09-04T14:30:21
NMC-FAST-WSHR-BE15D0D8,NTPC,EGW000024,"Flat Washer, M18, Zinc Pltd, DIN 125",NOS.,2026-09-04T14:30:21
NMC-FAST-WSHR-BE15D0D8,SAIL,S100133,FLAT WASHER / DIN-125 / M18 / ZP,NUM,2026-09-04T14:30:21
NMC-BRG-BALL-D9174EE7,NTPC,EGW000037,"Ball Bearing, D.G., 6210, Open, 50 mm",NOS.,2026-09-04T14:30:21
NMC-BRG-BALL-D9174EE7,SAIL,S100217,BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210,NUM,2026-09-04T14:30:21
NMC-FAST-BOLT-99946D92,NTPC,EGW000011,"Hex Bolt, Gr.8.8, H.D.G., M24 x 96 mm",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-99946D92,SAIL,S100049,HEX BOLT / DIN-933 / 8.8 GR / GALVANIZED / M24x96MM,NUM,2026-09-04T14:30:21
NMC-LUB-GREASE-7BB63DCA,NTPC,EGW000081,"Grease, 5 kg, Lithium-EP, NLGI 2",PACK,2026-09-04T14:30:21
NMC-LUB-GREASE-7BB63DCA,SAIL,S100574,GREASE / NLGI 2 / LITHIUM EP / 5 kg,PKTS,2026-09-04T14:30:21
NMC-FAST-STUD-397C2150,CPCL,MAT100029,"STUD BOLT B7, PLN, ASTM A193",NOS,2026-09-04T14:30:21
PROVISIONAL-REDUCER-CPCL-MAT100064,CPCL,MAT100064,"REDUCER ASTM A234 WPB, 2""x1"", SCH 40",NOS,2026-09-04T14:30:21
NMC-FAST-NUT-83B5D5AB,CPCL,MAT100018,HEX NUT 8,NOS,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-CPCL-MAT100087,CPCL,MAT100087,"PRESSURE GAUGE BOURDON, 0-10 kg/cm2, 1/2 BSP",NOS,2026-09-04T14:30:21
NMC-GEN-335817E7,CPCL,MAT100067,"FLANkE ASTM A105, RF, CL 150, SO",NOS,2026-09-04T14:30:21
NMC-LUB-HYDOIL-A8B56411,CPCL,MAT100079,"HYDRAULIC OIL 20 L, MIN",PKT,2026-09-04T14:30:21
NMC-LUB-GREASE-A02DEF9B,CPCL,MAT100078,"GREASE 18 kg, NLGI 2, LI-EP",PKT,2026-09-04T14:30:21
PROVISIONAL-ELBOW-CPCL-MAT100058,CPCL,MAT100058,"ELBOW ASTM A234 WPB, SCH 40, 90 deg",NOS,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-CPCL-MAT100038,CPCL,MAT100038,"BALL BEARING 50 mm, DG, OPEN",NOS,2026-09-04T14:30:21
NMC-BRG-BALL-59D6D4C8,CPCL,MAT100037,"BALL BEARING 6210, DG, 50 mm",NOS,2026-09-04T14:30:21
NMC-FAST-WSHR-2BE32976,CPCL,MAT100022,FLAT WASHER M12,NOS,2026-09-04T14:30:21
NMC-PMP-CENT-D0C711BC,CPCL,MAT100084,"CENTRIFUGAL PUMP MECH, 25 m3/hr, 32 m",NOS,2026-09-04T14:30:21
PROVISIONAL-REDUCER-CPCL-MAT100063,CPCL,MAT100063,"REDUCER ASTM A234 WPB, SCH 40, 2""x1""",NOS,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-CPCL-MAT100033,CPCL,MAT100033,"BALL BEARING DG, 6204, 20 mm",NOS,2026-09-04T14:30:21
NMC-FAST-STUD-5C3AEBD1,CPCL,MAT100027,"STUD BOLT PLN, ASTM A193, M20x100, B16",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-009BA237,CPCL,MAT100012,"HEX BOLT M24x96, DIN 933, HDG",NOS,2026-09-04T14:30:21
NMC-FAST-BOLT-AE16E982,CPCL,MAT100002,"HEX BOLT BLK OX, M16x60, 10.9",NOS,2026-09-04T14:30:21
NMC-GEN-8CA604BF,CPCL,MAT100070,"CAeLE 1.1 kV, PVC, 2C x 1.5",NOS,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-CPCL-MAT100007,CPCL,MAT100007,"HEX BOLT DIN 933, M10x30, A2-70, PLN",NOS,2026-09-04T14:30:21
NMC-PIPE-8A2266BD,CPCL,MAT100055,"PIPE SEAMLESS 6"" NPS, SCH 40, ASTM A106 Gr B, SMLS",MTR,2026-09-04T14:30:21
NMC-VLV-CHECK-85839370,CPCL,MAT100049,"CHECK VALVE FLG, 3"", CS",NOS,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-CPCL-MAT100009,CPCL,MAT100009,"HEX BOLT M12x50, DIN 931, PLN",NOS,2026-09-04T14:30:21
PROVISIONAL-HEX-NUT-CPCL-MAT100015,CPCL,MAT100015,"HEX NUT A4-70, PLb, M10",NOS,2026-09-04T14:30:21
NMC-ELEC-CONTR-14066646C9,CPCL,MAT100075,"CONTACTOR 3 pole, 65 A",NOS,2026-09-04T14:30:21
PROVISIONAL-THERMOWELL-CPCL-MAT100089,CPCL,MAT100089,"THERMOWELL 1/2"", 150 mm",NOS,2026-09-04T14:30:21
NMC-PIPE-270F8F6B,CPCL,MAT100053,"PIPE SEAMLESS SMLS, 2"" NPS, ASTM A106 Gr B",MTR,2026-09-04T14:30:21
NMC-FIT-TEE-8F038CFC,CPCL,MAT100061,TEE SCH 80,NOS,2026-09-04T14:30:21
NMC-ELEC-CABLE-05398EFD,CPCL,MAT100069,CABLE 3C x 4.0,NOS,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-CPCL-MAT100008,CPCL,MAT100008,"HEX BOLT M10x30, DIN 933, A4-70, PLN",NOS,2026-09-04T14:30:21
PROVISIONAL-HEX-NUT-CPCL-MAT100014,CPCL,MAT100014,"HEX NUT PLN, DIN 934, A2-70, M10",NOS,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-CPCL-MAT100088,CPCL,MAT100088,"PRESSURE GAUGE BOURDON, 6"", 1/2 BSP, 0-10 kg/cm2",NOS,2026-09-04T14:30:21
PROVISIONAL-PIPE-CPCL-MAT100052,CPCL,MAT100052,"PIPE SEAMLESS ASTM A106 Gr B, SCH 40, SMLS",MTR,2026-09-04T14:30:21
NMC-FIT-TEE-FEF12A69,CPCL,MAT100062,"TEE 1"", SCH 40, ASTM A234 WPB",NOS,2026-09-04T14:30:21
NMC-FAST-NUT-1FF5A693,CPCL,MAT100016,"HEX NUT DIN 934, M12, HDG",NOS,2026-09-04T14:30:21
NMC-FAST-STUD-02D12816,CPCL,MAT100028,"STUD BOLT ASTM A193, PLN",NOS,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-CPCL-MAT100034,CPCL,MAT100034,"BALL BEARING 2RS, DG, 35 mm, 627",NOS,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-CPCL-MAT100035,CPCL,MAT100035,"BALL BEARING 45 mm, DG, 628",NOS,2026-09-04T14:30:21
PROVISIONAL-SAFETY-VALVE-CPCL-MAT100051,CPCL,MAT100051,"SAFETY VALVE BRZ, CL 150, SCR",NOS,2026-09-04T14:30:21
NMC-ELEC-CONTR-5F108558,CPCL,MAT100074,CONTACTOR 32 A,NOS,2026-09-04T14:30:21
NMC-FAST-NUT-996FDB1B,CPCL,MAT100019,"HEX NUT DIN 934, 8, HDG",NOS,2026-09-04T14:30:21
NMC-LUB-GEAROIL-EA2FBDC2,CPCL,MAT100082,"GEAR OIL EP, ISO VG 320",PKT,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-CPCL-MAT100036,CPCL,MAT100036,"BALL BEARING 2RS, 55 mm, DG, 629",NOS,2026-09-04T14:30:21
PROVISIONAL-CABLE-CPCL-MAT100071,CPCL,MAT100071,"CABLE 1.1 kV, XLPE",NOS,2026-09-04T14:30:21
NMC-FAST-NUT-9CDA87DD,GAIL,GLM-HN-0006,HEX NUT M16 ZINC DIN 934,NOS,2026-09-04T14:30:21
NMC-VLV-GATE-6A8586A5,GAIL,GLM-GV-0007,GATE VALVE DN50 FORGED STEEL CLASS 800 SOCKET WELD,NOS,2026-09-04T14:30:21
NMC-FIT-ELBOW-F2654BCD,GAIL,GLM-EL-0010,ELBOW 2 SCH40 45 DEG WPB,NOS,2026-09-04T14:30:21
NMC-GEN-F4678995,GAIL,GLM-SH-0011,SHCS M10X30 GR 12.9 ZN DIN 912,NOS,2026-09-04T14:30:21
NMC-INS-THRMW-7EB3CAF2,GAIL,GLM-TW-0015,THERMOWELL 6 X 300 MM SS316,NOS,2026-09-04T14:30:21
NMC-ELEC-MOTOR-3A73C7B8,IOCL,RM-00078,Motor – 1440 RPM – 5 HP – 3 Phase – Flange Mounted B5,EA,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-IOCL-RM-00035,IOCL,RM-00035,Ball Bearing – Deep Groove – 55 mm – 2RS – 629,EA,2026-09-04T14:30:21
PROVISIONAL-PIPE-IOCL-RM-00056,IOCL,RM-00056,Seamlzss Pipe – Seamless – ASTM A106 Gr B – SCH 40,METER,2026-09-04T14:30:21
NMC-VLV-GATE-9799EC46,IOCL,RM-00044,"Gate Valve – Forged Steel – 1.5"" – Socket Weld",EA,2026-09-04T14:30:21
NMC-LUB-GEAROIL-7B99F3A4,IOCL,RM-00091,Gear Oil – ISO VG 220 – EP,PKT,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-IOCL-RM-00010,IOCL,RM-00010,Hex Bolt – A4-70 – Plain – DIN 931 – M12 X 50,EA,2026-09-04T14:30:21
NMC-ELEC-CABLE-E325F00D,IOCL,RM-00074,Cable – 1.1 kV – PVC – 2C x 1.5 sqmm,EA,2026-09-04T14:30:21
NMC-VLV-CHECK-62102FCC,IOCL,RM-00051,"Check Valve – Flanged – Cast Iron – Class 150 – 2""",EA,2026-09-04T14:30:21
NMC-ELEC-CABLE-E4C6BA97,IOCL,RM-00076,Cable – XLPE – 1.1 kV – 4C x 10 sqmm,EA,2026-09-04T14:30:21
PROVISIONAL-HEX-NUT-IOCL-RM-00015,IOCL,RM-00015,Hex Nut – A2-70 – M10 – Plain – DIN 934,EA,2026-09-04T14:30:21
PROVISIONAL-FLAT-WASHER-IOCL-RM-00024,IOCL,RM-00024,Flat Washer – DIN 125 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-INS-THRMW-F76CE5DC,IOCL,RM-00102,"Thermowell – 150 mm – Stainless Steel 316 – 1/2""",EA,2026-09-04T14:30:21
NMC-FIT-TEE-B78478A8,IOCL,RM-00065,"Tee – 1"" – ASTM A234 aPB",EA,2026-09-04T14:30:21
NMC-FAST-SHCS-795ED271,IOCL,RM-00030,Socket Screw – Zinc Plated – 12.9,EA,2026-09-04T14:30:21
NMC-INS-THRMW-43FE369D,IOCL,RM-00103,"Thermowell – 1/2""",EA,2026-09-04T14:30:21
NMC-LUB-HYDOIL-0E20E898,IOCL,RM-00089,Hydraulic Oil – Mineral – 20 L – ISO VG 46,PKT,2026-09-04T14:30:21
PROVISIONAL-CABLE-IOCL-RM-00075,IOCL,RM-00075,Cable – PVC – 1.1 kV,EA,2026-09-04T14:30:21
NMC-FAST-BOLT-C878F76D,IOCL,RM-00003,Hex Bolt – IS:1364 – Zinc Plated – 8.8,EA,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-IOCL-RM-00101,IOCL,RM-00101,"Pressure Gauge – 1/2 BSP – 6"" – 0-10 kg/cm2 – Bourdon Tube",EA,2026-09-04T14:30:21
NMC-VLV-GLOBE-AB4789FE,IOCL,RM-00049,"Globe Valve – Class 800 – Socket Weld – Forged Steel – 2""",EA,2026-09-04T14:30:21
PROVISIONAL-SAFETY-VALVE-IOCL-RM-00053,IOCL,RM-00053,Safety Valve – Screwed – Bronze – Class 150,EA,2026-09-04T14:30:21
PROVISIONAL-FLAT-WASHER-IOCL-RM-00025,IOCL,RM-00025,Flat Washer – DIN 125 – Zinc Plated,EA,2026-09-04T14:30:21
PROVISIONAL-FLAT-WASHER-IOCL-RM-00023,IOCL,RM-00023,Flat Washer – DIN 125 – Zinc Plated,EA,2026-09-04T14:30:21
NMC-ELEC-MCB-71D51737,IOCL,RM-00083,Mcb – 4P – 415 V,EA,2026-09-04T14:30:21
NMC-INS-PGAUGE-7B62B05F,IOCL,RM-00100,"Pressure Gauge – 4"" – 1/2 BSP – 0-10 kg/cm2",EA,2026-09-04T14:30:21
PROVISIONAL-SOCKET-HEAD-CA-IOCL-RM-00029,IOCL,RM-00029,Socket Screw – Black Oxide – DIN 912 – 12.9,EA,2026-09-04T14:30:21
NMC-VLV-CHECK-5689C50A,IOCL,RM-00052,"Check Valve – 3"" – Class 150 – Cast Steel",EA,2026-09-04T14:30:21
NMC-FAST-BOLT-DD488004,IOCL,RM-00004,Hex Bolt – M10 X 40 – DIN 933,EA,2026-09-04T14:30:21
NMC-FAST-NUT-82059210,IOCL,RM-00014,Hex Nut – Zinc Plated – 8,EA,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-IOCL-RM-00009,IOCL,RM-00009,Hex Bolt – M10 X 30 – Placn – A4-70,EA,2026-09-04T14:30:21
NMC-VLV-GATE-967B1E5A,IOCL,RM-00041,"Gate Valve – Class 150 – 2""",EA,2026-09-04T14:30:21
NMC-GEN-4EE7C30E,IOCL,RM-00066,"ceducer – 2""x1"" – SCH 40 – ASTM A234 WPB",EA,2026-09-04T14:30:21
NMC-ELEC-CABLE-ED49C1ED,IOCL,RM-00073,Cable – 3C x 4.0 sqmm – 1.1 kV,EA,2026-09-04T14:30:21
NMC-GEN-1C6DE1D0,IOCL,RM-00027,Stua Bolt – B16 – Plain – M20 X 100,EA,2026-09-04T14:30:21
PROVISIONAL-ELBOW-IOCL-RM-00060,IOCL,RM-00060,Elbow – ASTM A234 WPB – SCH 40 – 90 deg,EA,2026-09-04T14:30:21
NMC-BRG-BALL-203B4A07,IOCL,RM-00036,Ball Bearing – 25 mm – Deep Groove – 6305 – 2RS,EA,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-IOCL-RM-00034,IOCL,RM-00034,Ball Bearing – Deep Groove – 35 mm – 627,EA,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-IOCL-RM-00011,IOCL,RM-00011,Hex Bolt – DIN 931 – M12 X 50 – A4-70 – Plain,EA,2026-09-04T14:30:21
NMC-ELEC-MCB-CF77C627,IOCL,RM-00085,Mcb – C curve – 415 V – 63 A – 2P,EA,2026-09-04T14:30:21
NMC-FAST-STUD-8E6BCEDF,IOCL,RM-00028,Stud Bolt – Plain – M16 X 80 – B7 – ASTM A193,EA,2026-09-04T14:30:21
NMC-FAST-BOLT-58FE79EA,IOCL,RM-00008,Hex Bolt – Plain – A2-70,EA,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-IOCL-RM-00007,IOCL,RM-00007,Hex Bolt – A2-70 – M10 X 30 – DIN 933 – Plain,EA,2026-09-04T14:30:21
NMC-FIT-FLANGE-0DFCC1E6,IOCL,RM-00071,"Flange – Slip-On – Class 150 – 1"" – ASTM A105 – Raised Face",EA,2026-09-04T14:30:21
NMC-VLV-GLOBE-3F993AB7,IOCL,RM-00050,"Globe Valve – 2"" – Class 150 – Flanged",EA,2026-09-04T14:30:21
NMC-PIPE-C08D2E30,IOCL,RM-00054,"Seamless Pipe – SCH 80 – Seamless – 2"" NPS",METER,2026-09-04T14:30:21
NMC-PIPE-5660C6BA,NTPC,EGW000053,"Seamless Pipe, 6"" NB",MTRS,2026-09-04T14:30:21
NMC-PIPE-A7CB8438,NTPC,EGW000058,"Ss Pipe, A312 TP304, 2"" NB, SMLS",MTRS,2026-09-04T14:30:21
PROVISIONAL-THERMOWELL-NTPC-EGW000094,NTPC,EGW000094,"Thermowell, 1/2"", 150 mm",NOS.,2026-09-04T14:30:21
PROVISIONAL-CENTRIFUGAL-PU-NTPC-EGW000089,NTPC,EGW000089,"Centrifugal Pump, 50 m, 45 m3/hr",NOS.,2026-09-04T14:30:21
NMC-ELEC-CONTR-59C61C64,NTPC,EGW000074,"Contactor, 230 V AC, 4 pole",NOS.,2026-09-04T14:30:21
NMC-GEN-61FD735C,NTPC,EGW000095,"Thermofell, 1/2"", S.S. 304",NOS.,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000092,NTPC,EGW000092,"Pressure Gauge, Bourdon, 1/2 BSP, 0-16 kg/cm2, 4""",NOS.,2026-09-04T14:30:21
PROVISIONAL-SOCKET-HEAD-CA-NTPC-EGW000027,NTPC,EGW000027,"Socket Screw, Blk Oxide, DIN 912, Gr.12.9",NOS.,2026-09-04T14:30:21
NMC-GEN-98BDF1EE,NTPC,EGW000071,"Cabee, 1.1 kV, 2C X 1.5 Sq mm",NOS.,2026-09-04T14:30:21
NMC-FAST-STUD-FFF513E2,NTPC,EGW000026,"Stud Bolt, B-7, ASTM A193",NOS.,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000036,NTPC,EGW000036,"Ball Bearing, 629, 55 mm",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-D5CFBBDA,NTPC,EGW000002,"Hex Bolt, IS 1364, M12 x 40 mm, Zinc Pltd",NOS.,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000032,NTPC,EGW000032,"Ball Bearing, Open, D.G.",NOS.,2026-09-04T14:30:21
NMC-LUB-GREASE-6BF905EB,NTPC,EGW000078,"Grease, Lithium, 5 kg",PACK,2026-09-04T14:30:21
NMC-GEN-B7DB1ABC,NTPC,EGW000076,"Mzb, 4P, C curve, 415 V",NOS.,2026-09-04T14:30:21
NMC-FIT-FLANGE-EEAD1B7B,NTPC,EGW000066,"Flange, Class 150, ASTM A105, R.F.",NOS.,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000034,NTPC,EGW000034,"Ball Bearing, D.G., 2RS, 627, 35 mm",NOS.,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000033,NTPC,EGW000033,"Ball Bearing, 35 mm, 2RS, 627, D.G.",NOS.,2026-09-04T14:30:21
NMC-FIT-TEE-E38808FC,NTPC,EGW000048,"Gtobe Valve, F.S., S.W., 1.5""",NOS.,2026-09-04T14:30:21
NMC-FIT-FLANGE-99A4DC9D,NTPC,EGW000065,"Flange, R.F., ASTM A105, W-N, 3""",NOS.,2026-09-04T14:30:21
NMC-LUB-HYDOIL-C241A71F,NTPC,EGW000082,"Hydraulic Oil, ISO VG 46",PACK,2026-09-04T14:30:21
PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,NTPC,EGW000093,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP",NOS.,2026-09-04T14:30:21
NMC-FIT-FLANGE-396952CB,NTPC,EGW000067,"Flange, 1"", S-O, Class 150, ASTM A105",NOS.,2026-09-04T14:30:21
PROVISIONAL-CENTRIFUGAL-PU-NTPC-EGW000088,NTPC,EGW000088,"Centrifugal Pump, 45 m3/hr, 50 m, Mech.",NOS.,2026-09-04T14:30:21
NMC-BRG-BALL-72021C64,NTPC,EGW000039,"Ball Bearing, 25 mm, ZZ",NOS.,2026-09-04T14:30:21
NMC-GEN-533D03F5,NTPC,EGW000084,"Gnar Oil, E.P., 20 L, ISO VG 220",PACK,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000035,NTPC,EGW000035,"Ball Bearing, 2RS, D.G.",NOS.,2026-09-04T14:30:21
NMC-FIT-ELBOW-06DF4811,NTPC,EGW000059,"Elbow, ASTM A234 WPB, 90 deg, 3""",NOS.,2026-09-04T14:30:21
NMC-FAST-STUD-9B84087F,NTPC,EGW000025,"Stud Bolt, M20 x 100 mm",NOS.,2026-09-04T14:30:21
NMC-ELEC-CABLE-90D9B082,NTPC,EGW000070,"Cable, P.V.C., 2C X 1.5 Sq mm",NOS.,2026-09-04T14:30:21
PROVISIONAL-FLAT-WASHER-NTPC-EGW000020,NTPC,EGW000020,"Flat Washer, Zinc Pltd, DIN 9021",NOS.,2026-09-04T14:30:21
PROVISIONAL-FLANGE-NTPC-EGW000064,NTPC,EGW000064,"Flange, R.F., Class 150, ASTM A105, 2"", W-N",NOS.,2026-09-04T14:30:21
NMC-GEN-C57EE76F,NTPC,EGW000051,"Seamless vipe, SCH 40, ASTM A106 Gr B",MTRS,2026-09-04T14:30:21
PROVISIONAL-HEX-NUT-NTPC-EGW000014,NTPC,EGW000014,"Hex Nut, Gr.A4-70, M10, Plaid Finish",NOS.,2026-09-04T14:30:21
NMC-FIT-FLANGE-630D711E,NTPC,EGW000044,"Gate Valte, Class 150, Flanged, 3""",NOS.,2026-09-04T14:30:21
NMC-VLV-BALL-80F823C8,NTPC,EGW000047,"Ball Valve, S.S. 316, Flanged",NOS.,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-NTPC-EGW000005,NTPC,EGW000005,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A2-70",NOS.,2026-09-04T14:30:21
NMC-VLV-GLOBE-25CE24B1,NTPC,EGW000049,"Globe Valve, mlass 150, 2"", C.S.",NOS.,2026-09-04T14:30:21
NMC-FAST-NUT-77AE91C5,NTPC,EGW000017,"Hex Nut, M14, H.D.G., DIN 934",NOS.,2026-09-04T14:30:21
NMC-VLV-GATE-E707E768,NTPC,EGW000043,"Gate Valve, Flanged",NOS.,2026-09-04T14:30:21
NMC-INS-PGAUGE-0C7A34D3,NTPC,EGW000091,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP, 4""",NOS.,2026-09-04T14:30:21
NMC-VLV-BALL-AE422E88,NTPC,EGW000046,"Ball Valve, S.S. 316, 1"", Screwed",NOS.,2026-09-04T14:30:21
PROVISIONAL-PIPE-NTPC-EGW000052,NTPC,EGW000052,"Seamless Pipe, SCH 40, SMLS, ASTM A106 Gr B",MTRS,2026-09-04T14:30:21
NMC-ELEC-MOTOR-5C21285D,NTPC,EGW000073,"Motor, 1440 RPM, B-3, 3-Phase",NOS.,2026-09-04T14:30:21
PROVISIONAL-FLANGE-NTPC-EGW000063,NTPC,EGW000063,"Flange, ASTM A105, Class 150, 2"", R.F., S-O",NOS.,2026-09-04T14:30:21
NMC-LUB-TURBOIL-9F5BC707,NTPC,EGW000085,"Turbine Oil, Mineral, ISO VG 32",PACK,2026-09-04T14:30:21
NMC-FAST-NUT-36B87CE2,NTPC,EGW000012,"Hex Nut, M16, Zinc Pltd, DIN 934",NOS.,2026-09-04T14:30:21
NMC-ELEC-CABLE-8428AC2B,NTPC,EGW000069,"Cable, 3C X 4.0 Sq mm, 1.1 kV, XLPE",NOS.,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-NTPC-EGW000006,NTPC,EGW000006,"Hex Bolt, DIN 933, M10 x 30 mm, Gr.A4-70, Plain Finish",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-0818329A,NTPC,EGW000009,"Hex Bolt, H.D.G., DIN 933, M14 x 56 mm",NOS.,2026-09-04T14:30:21
NMC-VLV-BFLY-E54B59A0,NTPC,EGW000050,"Butterfly Valve, Wafer, C.I., 6""",NOS.,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-NTPC-EGW000007,NTPC,EGW000007,"Hex Bolt, Gr.A4-70, M12 x 50 mm, DIN 931, Plain Finimh",NOS.,2026-09-04T14:30:21
NMC-PMP-GEAR-DA336062,NTPC,EGW000090,"Gear Pump, Gland, 1.5 kW, 10 bar",NOS.,2026-09-04T14:30:21
PROVISIONAL-BALL-BEARING-NTPC-EGW000038,NTPC,EGW000038,"Ball Bearing, 2RS, D.G., 25 mm",NOS.,2026-09-04T14:30:21
PROVISIONAL-HEX-BOLT-NTPC-EGW000008,NTPC,EGW000008,"Hex Bolt, Gr.A4-70, Plain Finish, M12 x 50 mm",NOS.,2026-09-04T14:30:21
NMC-PIPE-61755EDD,NTPC,EGW000057,"Ss Pipe, 2"" NB, SCH 10",MTRS,2026-09-04T14:30:21
PROVISIONAL-HEX-NUT-NTPC-EGW000013,NTPC,EGW000013,"Hex Nut, Gr.A2-70, Plain Finish, DIN 934, M10",NOS.,2026-09-04T14:30:21
NMC-PIPE-B0B7439A,NTPC,EGW000055,"Erw Pipe, E.R.W., 4"" NB, IS 1239",MTRS,2026-09-04T14:30:21
NMC-ELEC-MOTOR-9F63F782,NTPC,EGW000072,"Motor, B-3, 5 HP, 1440 RPM, 3-Phase",NOS.,2026-09-04T14:30:21
PROVISIONAL-REDUCER-NTPC-EGW000062,NTPC,EGW000062,"Reducer, 2""x1"", SCH 40, ASTM A234 WPB",NOS.,2026-09-04T14:30:21
NMC-FAST-BOLT-0DC523CF,SAIL,S100021,HEX BOLT / DIN-933 / 10.9 GR / M10x40MM,NUM,2026-09-04T14:30:21
NMC-LUB-GREASE-5E214BE4,SAIL,S100567,GREASE / LITaIUM EP / NLGI 2 / 18 kg,PKTS,2026-09-04T14:30:21
NMC-VLV-GATE-1AE21128,SAIL,S100273,GATE VALVE / 2 INCH / CAST STEEL / FLANGED / 150#,NUM,2026-09-04T14:30:21
NMC-ELEC-CABLE-72B9E76B,SAIL,S100469,CABLE / 1.1 kV / 3C-4.0SQMM,NUM,2026-09-04T14:30:21
NMC-INS-LEVEL-445345DF,SAIL,S100686,LEVEL INDICATOR / 0-2000 mm,NUM,2026-09-04T14:30:21
NMC-PIPE-186FE698,SAIL,S100364,PIPE SEAMLESS / ASTM-A106-Gr-B / SCH 80 / 2 INCH NB / SEAMLESS,MTR.,2026-09-04T14:30:21
