kind,reason,cpse,material_code,description,top_candidates,suggested_nmc,decision
record,missing-identity-attribute,IOCL,RM-00035,Ball Bearing – Deep Groove – 55 mm – 2RS – 629,IOCL/RM-00034 (sim 0.93): Ball Bearing – Deep Groove – 35 mm – 627 || IOCL/RM-00033 (sim 0.93): Ball Bearing – 6205 – Deep Groove – 25 mm – 2RS || IOCL/RM-00036 (sim 0.92): Ball Bearing – 25 mm – Deep Groove – 6305 – 2RS,PROVISIONAL-BALL-BEARING-IOCL-RM-00034,
record,missing-identity-attribute,NTPC,EGW000034,"Ball Bearing, D.G., 2RS, 627, 35 mm","NTPC/EGW000033 (sim 0.99): Ball Bearing, 35 mm, 2RS, 627, D.G. || NTPC/EGW000038 (sim 0.96): Ball Bearing, 2RS, D.G., 25 mm || CPCL/MAT100031 (sim 0.93): BALL BEARING 2RS, 25 mm, 6205, DG",PROVISIONAL-BALL-BEARING-NTPC-EGW000033,
record,missing-identity-attribute,NTPC,EGW000033,"Ball Bearing, 35 mm, 2RS, 627, D.G.","NTPC/EGW000038 (sim 0.96): Ball Bearing, 2RS, D.G., 25 mm || CPCL/MAT100031 (sim 0.92): BALL BEARING 2RS, 25 mm, 6205, DG || NTPC/EGW000035 (sim 0.91): Ball Bearing, 2RS, D.G.",PROVISIONAL-BALL-BEARING-NTPC-EGW000038,
record,missing-identity-attribute,NTPC,EGW000035,"Ball Bearing, 2RS, D.G.","NTPC/EGW000038 (sim 0.93): Ball Bearing, 2RS, D.G., 25 mm || NTPC/EGW000030 (sim 0.90): Ball Bearing, D.G., 2RS, 6205 || CPCL/MAT100031 (sim 0.88): BALL BEARING 2RS, 25 mm, 6205, DG",PROVISIONAL-BALL-BEARING-NTPC-EGW000038,
record,missing-identity-attribute,NTPC,EGW000038,"Ball Bearing, 2RS, D.G., 25 mm","CPCL/MAT100031 (sim 0.95): BALL BEARING 2RS, 25 mm, 6205, DG || IOCL/RM-00036 (sim 0.89): Ball Bearing – 25 mm – Deep Groove – 6305 – 2RS || NTPC/EGW000030 (sim 0.89): Ball Bearing, D.G., 2RS, 6205",NMC-BRG-BALL-D177ABC5,
record,missing-identity-attribute,SAIL,S100224,BALL BEARING / 6305 / DEEP GROOVE / 25 mm / 2 RS,IOCL/RM-00036 (sim 0.91): Ball Bearing – 25 mm – Deep Groove – 6305 – 2RS || SAIL/S100231 (sim 0.91): BALL BEARING / 25 mm / ZZ / 6305 / DEEP GROOVE || IOCL/RM-00037 (sim 0.90): Ball Bearing – 6305 – ZZ – Deep Groove – 25 mm,NMC-BRG-BALL-203B4A07,
record,missing-identity-attribute,NTPC,EGW000032,"Ball Bearing, Open, D.G.","NTPC/EGW000037 (sim 0.85): Ball Bearing, D.G., 6210, Open, 50 mm || SAIL/S100210 (sim 0.82): BALL BEARING / DEEP GROOVE / 2 RS || SAIL/S100217 (sim 0.82): BALL BEARING / DEEP GROOVE / OPEN / 50 mm / 6210",NMC-BRG-BALL-D9174EE7,
record,missing-identity-attribute,SAIL,S100182,BALL BEARING / 6204 / 20 mm / DEEP GROOVE,SAIL/S100203 (sim 0.96): BALL BEARING / 628 / 45 mm / DEEP GROOVE || SAIL/S100210 (sim 0.87): BALL BEARING / DEEP GROOVE / 2 RS || SAIL/S100196 (sim 0.78): BALL BEARING / 2 RS / 35 mm / 627,PROVISIONAL-BALL-BEARING-SAIL-S100203,
record,missing-identity-attribute,CPCL,MAT100064,"REDUCER ASTM A234 WPB, 2""x1"", SCH 40","CPCL/MAT100063 (sim 0.99): REDUCER ASTM A234 WPB, SCH 40, 2""x1"" || NTPC/EGW000062 (sim 0.98): Reducer, 2""x1"", SCH 40, ASTM A234 WPB || SAIL/S100427 (sim 0.92): REDUCER / SCH 40 / ASTM-A234-WPB / 2 INCHx1 INCH",PROVISIONAL-REDUCER-CPCL-MAT100063,
record,missing-identity-attribute,CPCL,MAT100058,"ELBOW ASTM A234 WPB, SCH 40, 90 deg","IOCL/RM-00060 (sim 0.98): Elbow – ASTM A234 WPB – SCH 40 – 90 deg || IOCL/RM-00062 (sim 0.95): Elbow – ASTM A234 WPB – 3"" – 90 deg – SCH 40 || CPCL/MAT100060 (sim 0.94): ELBOW ASTM A234 WPB, SCH 40, 90 deg, 3""",PROVISIONAL-ELBOW-IOCL-RM-00060,
record,missing-identity-attribute,NTPC,EGW000066,"Flange, Class 150, ASTM A105, R.F.","NTPC/EGW000063 (sim 0.96): Flange, ASTM A105, Class 150, 2"", R.F., S-O || NTPC/EGW000064 (sim 0.95): Flange, R.F., Class 150, ASTM A105, 2"", W-N || NTPC/EGW000065 (sim 0.90): Flange, R.F., ASTM A105, W-N, 3""",PROVISIONAL-FLANGE-NTPC-EGW000063,
record,missing-identity-attribute,NTPC,EGW000064,"Flange, R.F., Class 150, ASTM A105, 2"", W-N","NTPC/EGW000063 (sim 0.98): Flange, ASTM A105, Class 150, 2"", R.F., S-O || CPCL/MAT100065 (sim 0.91): FLANGE RF, SO, CL 150, ASTM A105, 2"" || SAIL/S100434 (sim 0.81): FLANGE / 2 INCH / ASTM-A105 / SLIP ON / 150# / RF",PROVISIONAL-FLANGE-NTPC-EGW000063,
record,missing-identity-attribute,NTPC,EGW000063,"Flange, ASTM A105, Class 150, 2"", R.F., S-O","CPCL/MAT100065 (sim 0.92): FLANGE RF, SO, CL 150, ASTM A105, 2"" || SAIL/S100434 (sim 0.83): FLANGE / 2 INCH / ASTM-A105 / SLIP ON / 150# / RF || SAIL/S100441 (sim 0.83): FLANGE / ASTM-A105 / WELD NECK / 150# / RF / 2 INCH",NMC-FIT-FLANGE-19B7F9E6,
record,missing-identity-attribute,GAIL,GLM-EL-0010,ELBOW 2 SCH40 45 DEG WPB,"IOCL/RM-00061 (sim 0.84): Elbow – SCH 40 – 45 deg – ASTM A234 WPB – 2"" || CPCL/MAT100059 (sim 0.83): ELBOW 45 deg, ASTM A234 WPB, SCH 40, 2"" || SAIL/S100406 (sim 0.72): ELBOW / 2 INCH / SCH 40",NMC-FIT-ELBOW-A8BCC18E,
record,missing-identity-attribute,SAIL,S100406,ELBOW / 2 INCH / SCH 40,"IOCL/RM-00061 (sim 0.80): Elbow – SCH 40 – 45 deg – ASTM A234 WPB – 2"" || CPCL/MAT100059 (sim 0.80): ELBOW 45 deg, ASTM A234 WPB, SCH 40, 2""",NMC-FIT-ELBOW-A8BCC18E,
record,missing-identity-attribute,CPCL,MAT100063,"REDUCER ASTM A234 WPB, SCH 40, 2""x1""","NTPC/EGW000062 (sim 0.97): Reducer, 2""x1"", SCH 40, ASTM A234 WPB || SAIL/S100427 (sim 0.92): REDUCER / SCH 40 / ASTM-A234-WPB / 2 INCHx1 INCH",PROVISIONAL-REDUCER-NTPC-EGW000062,
record,missing-identity-attribute,CPCL,MAT100061,TEE SCH 80,"IOCL/RM-00064 (sim 0.68): Tee – ASTM A234 WuB – 1"" – SCH 80 || NTPC/EGW000061 (sim 0.65): Tee, 1"", SCH 80, ASTM A234 WPB || IOCL/RM-00065 (sim 0.44): Tee – 1"" – ASTM A234 aPB",NMC-FIT-TEE-D4E01D82,
record,missing-identity-attribute,IOCL,RM-00065,"Tee – 1"" – ASTM A234 aPB","NTPC/EGW000061 (sim 0.81): Tee, 1"", SCH 80, ASTM A234 WPB || CPCL/MAT100062 (sim 0.81): TEE 1"", SCH 40, ASTM A234 WPB || IOCL/RM-00064 (sim 0.80): Tee – ASTM A234 WuB – 1"" – SCH 80",NMC-FIT-TEE-D4E01D82,
record,missing-identity-attribute,IOCL,RM-00060,Elbow – ASTM A234 WPB – SCH 40 – 90 deg,"IOCL/RM-00062 (sim 0.96): Elbow – ASTM A234 WPB – 3"" – 90 deg – SCH 40 || CPCL/MAT100060 (sim 0.92): ELBOW ASTM A234 WPB, SCH 40, 90 deg, 3"" || SAIL/S100413 (sim 0.89): ELBOW / SCH 40 / 90 deg / ASTM-A234-WPB / 3 INCH",NMC-FIT-ELBOW-A9A50468,
record,missing-identity-attribute,NTPC,EGW000059,"Elbow, ASTM A234 WPB, 90 deg, 3""","CPCL/MAT100060 (sim 0.95): ELBOW ASTM A234 WPB, SCH 40, 90 deg, 3"" || SAIL/S100413 (sim 0.92): ELBOW / SCH 40 / 90 deg / ASTM-A234-WPB / 3 INCH || IOCL/RM-00062 (sim 0.91): Elbow – ASTM A234 WPB – 3"" – 90 deg – SCH 40",NMC-FIT-ELBOW-A9A50468,
record,missing-identity-attribute,NTPC,EGW000065,"Flange, R.F., ASTM A105, W-N, 3""","SAIL/S100448 (sim 0.74): FLANGE / 300# / ASTM-A105 / 3 INCH / RF / WELD NECK || IOCL/RM-00070 (sim 0.74): Flange – ASTM A105 – Raised Face – Class 300 – 3"" – Weld Neck || NTPC/EGW000044 (sim 0.55): Gate Valte, Class 150, Flanged, 3""",NMC-FIT-FLANGE-E5ECA81B,
record,missing-identity-attribute,NTPC,EGW000067,"Flange, 1"", S-O, Class 150, ASTM A105","IOCL/RM-00071 (sim 0.76): Flange – Slip-On – Class 150 – 1"" – ASTM A105 – Raised Face",NMC-FIT-FLANGE-0DFCC1E6,
record,missing-identity-attribute,NTPC,EGW000062,"Reducer, 2""x1"", SCH 40, ASTM A234 WPB",SAIL/S100427 (sim 0.92): REDUCER / SCH 40 / ASTM-A234-WPB / 2 INCHx1 INCH,NMC-FIT-REDUCER-47888608,
record,missing-identity-attribute,CPCL,MAT100087,"PRESSURE GAUGE BOURDON, 0-10 kg/cm2, 1/2 BSP","NTPC/EGW000093 (sim 0.99): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP || IOCL/RM-00101 (sim 0.97): Pressure Gauge – 1/2 BSP – 6"" – 0-10 kg/cm2 – Bourdon Tube || CPCL/MAT100088 (sim 0.97): PRESSURE GAUGE BOURDON, 6"", 1/2 BSP, 0-10 kg/cm2",PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,
record,missing-identity-attribute,CPCL,MAT100089,"THERMOWELL 1/2"", 150 mm","NTPC/EGW000094 (sim 0.99): Thermowell, 1/2"", 150 mm || SAIL/S100672 (sim 0.98): THERMOWELL / 150 mm / 1/2 INCH || IOCL/RM-00103 (sim 0.90): Thermowell – 1/2""",PROVISIONAL-THERMOWELL-NTPC-EGW000094,
record,missing-identity-attribute,CPCL,MAT100088,"PRESSURE GAUGE BOURDON, 6"", 1/2 BSP, 0-10 kg/cm2","NTPC/EGW000093 (sim 0.98): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP || IOCL/RM-00101 (sim 0.97): Pressure Gauge – 1/2 BSP – 6"" – 0-10 kg/cm2 – Bourdon Tube || SAIL/S100665 (sim 0.88): PRESSURE GAUGE / 0-10 kg/cm2 / 1/2 BSP / 6 INCH",PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,
record,missing-identity-attribute,SAIL,S100686,LEVEL INDICATOR / 0-2000 mm,"NTPC/EGW000096 (sim 0.80): Level Indicator, 0-2000 mm, Mag Float, 1"" NPT || CPCL/MAT100090 (sim 0.78): LEVEL INDICATOR 0-2000 mm, 1"" NPT, MAG FLOAT || IOCL/RM-00104 (sim 0.74): Level Indicator – 1"" NPT – 0-2000 mm – Magnetic Float",NMC-INS-LEVEL-08C254AD,
record,missing-identity-attribute,GAIL,GLM-TW-0015,THERMOWELL 6 X 300 MM SS316,"IOCL/RM-00103 (sim 0.58): Thermowell – 1/2""",NMC-INS-THRMW-43FE369D,
record,missing-identity-attribute,IOCL,RM-00103,"Thermowell – 1/2""","NTPC/EGW000094 (sim 0.88): Thermowell, 1/2"", 150 mm || SAIL/S100672 (sim 0.86): THERMOWELL / 150 mm / 1/2 INCH || SAIL/S100679 (sim 0.74): THERMOWELL / 150 mm / 1/2 INCH / SS-304",PROVISIONAL-THERMOWELL-NTPC-EGW000094,
record,missing-identity-attribute,NTPC,EGW000094,"Thermowell, 1/2"", 150 mm","SAIL/S100672 (sim 0.96): THERMOWELL / 150 mm / 1/2 INCH || SAIL/S100679 (sim 0.85): THERMOWELL / 150 mm / 1/2 INCH / SS-304 || IOCL/RM-00102 (sim 0.82): Thermowell – 150 mm – Stainless Steel 316 – 1/2""",PROVISIONAL-THERMOWELL-SAIL-S100672,
record,missing-identity-attribute,SAIL,S100672,THERMOWELL / 150 mm / 1/2 INCH,"SAIL/S100679 (sim 0.88): THERMOWELL / 150 mm / 1/2 INCH / SS-304 || IOCL/RM-00102 (sim 0.83): Thermowell – 150 mm – Stainless Steel 316 – 1/2""",NMC-INS-THRMW-6B522C82,
record,missing-identity-attribute,IOCL,RM-00101,"Pressure Gauge – 1/2 BSP – 6"" – 0-10 kg/cm2 – Bourdon Tube","NTPC/EGW000093 (sim 0.96): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP || SAIL/S100665 (sim 0.87): PRESSURE GAUGE / 0-10 kg/cm2 / 1/2 BSP / 6 INCH",PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,
record,missing-identity-attribute,IOCL,RM-00100,"Pressure Gauge – 4"" – 1/2 BSP – 0-10 kg/cm2","NTPC/EGW000093 (sim 0.86): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP || NTPC/EGW000091 (sim 0.86): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP, 4"" || SAIL/S100651 (sim 0.85): PRESSURE GAUGE / 0-10 kg/cm2 / 4 INCH / BOURDON",PROVISIONAL-PRESSURE-GAUGE-NTPC-EGW000093,
record,missing-identity-attribute,NTPC,EGW000092,"Pressure Gauge, Bourdon, 1/2 BSP, 0-16 kg/cm2, 4""",SAIL/S100658 (sim 0.94): PRESSURE GAUGE / 1/2 BSP / 4 INCH / BOURDON / 0-16 kg/cm2,PROVISIONAL-PRESSURE-GAUGE-SAIL-S100658,
record,missing-identity-attribute,NTPC,EGW000093,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP","NTPC/EGW000091 (sim 0.97): Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP, 4"" || SAIL/S100651 (sim 0.91): PRESSURE GAUGE / 0-10 kg/cm2 / 4 INCH / BOURDON || SAIL/S100665 (sim 0.86): PRESSURE GAUGE / 0-10 kg/cm2 / 1/2 BSP / 6 INCH",NMC-INS-PGAUGE-0C7A34D3,
record,missing-identity-attribute,NTPC,EGW000091,"Pressure Gauge, Bourdon, 0-10 kg/cm2, 1/2 BSP, 4""",SAIL/S100651 (sim 0.92): PRESSURE GAUGE / 0-10 kg/cm2 / 4 INCH / BOURDON,NMC-INS-PGAUGE-84E4439D,
record,missing-identity-attribute,CPCL,MAT100070,"CAeLE 1.1 kV, PVC, 2C x 1.5","NTPC/EGW000071 (sim 0.74): Cabee, 1.1 kV, 2C X 1.5 Sq mm || IOCL/RM-00066 (sim 0.43): ceducer – 2""x1"" – SCH 40 – ASTM A234 WPB",NMC-GEN-98BDF1EE,
record,missing-identity-attribute,IOCL,RM-00066,"ceducer – 2""x1"" – SCH 40 – ASTM A234 WPB","NTPC/EGW000076 (sim 0.41): Mzb, 4P, C curve, 415 V",NMC-GEN-B7DB1ABC,
record,missing-identity-attribute,NTPC,EGW000095,"Thermofell, 1/2"", S.S. 304","NTPC/EGW000071 (sim 0.44): Cabee, 1.1 kV, 2C X 1.5 Sq mm || SAIL/S100168 (sim 0.40): BALL BEARxNG / 25 mm / DEEP GROOVE / 2 RS",NMC-GEN-98BDF1EE,
record,missing-identity-attribute,NTPC,EGW000071,"Cabee, 1.1 kV, 2C X 1.5 Sq mm",SAIL/S100168 (sim 0.42): BALL BEARxNG / 25 mm / DEEP GROOVE / 2 RS,NMC-GEN-5B1CE629,
record,missing-identity-attribute,CPCL,MAT100079,"HYDRAULIC OIL 20 L, MIN","IOCL/RM-00089 (sim 0.87): Hydraulic Oil – Mineral – 20 L – ISO VG 46 || SAIL/S100581 (sim 0.87): HYDRAULIC OIL / MINERAL / ISO-VG-46 || NTPC/EGW000082 (sim 0.77): Hydraulic Oil, ISO VG 46",NMC-LUB-HYDOIL-0E20E898,
record,missing-identity-attribute,NTPC,EGW000085,"Turbine Oil, Mineral, ISO VG 32","CPCL/MAT100083 (sim 0.95): TURBINE OIL MIN, 20 L, ISO VG 32 || IOCL/RM-00093 (sim 0.93): Turbine Oil – ISO VG 32 – Mineral – 20 L || IOCL/RM-00094 (sim 0.85): Turbine Oil – ISO VG 32 – 20 L",NMC-LUB-TURBOIL-2C31E7ED,
record,missing-identity-attribute,NTPC,EGW000078,"Grease, Lithium, 5 kg","SAIL/S100560 (sim 0.93): GREASE / NLGI 3 / 5 kg / LITHIUM || NTPC/EGW000079 (sim 0.92): Grease, 5 kg, NLGI 3, Lithium || CPCL/MAT100077 (sim 0.88): GREASE 5 kg, LI, NLGI 2",NMC-LUB-GREASE-C5B29763,
record,missing-identity-attribute,SAIL,S100553,GREASE / 5 kg / NLGI 2,"SAIL/S100574 (sim 0.93): GREASE / NLGI 2 / LITHIUM EP / 5 kg || NTPC/EGW000081 (sim 0.88): Grease, 5 kg, Lithium-EP, NLGI 2 || IOCL/RM-00086 (sim 0.86): Grease – 5 kg – Lithium – NLGI 2",NMC-LUB-GREASE-7BB63DCA,
record,missing-identity-attribute,IOCL,RM-00091,Gear Oil – ISO VG 220 – EP,IOCL/RM-00092 (sim 0.94): Gear Oil – ISO VG 220 – EP – 20 L || SAIL/S100602 (sim 0.90): GEAR OIL / EP / 20 L / ISO-VG-220 || SAIL/S100609 (sim 0.89): GEAR OIL / ISO-VG-220 / EP / 20 L,NMC-LUB-GEAROIL-77A41273,
record,missing-identity-attribute,NTPC,EGW000082,"Hydraulic Oil, ISO VG 46",SAIL/S100581 (sim 0.92): HYDRAULIC OIL / MINERAL / ISO-VG-46 || IOCL/RM-00089 (sim 0.88): Hydraulic Oil – Mineral – 20 L – ISO VG 46,NMC-LUB-HYDOIL-33E8D19A,
record,missing-identity-attribute,SAIL,S100581,HYDRAULIC OIL / MINERAL / ISO-VG-46,IOCL/RM-00089 (sim 0.93): Hydraulic Oil – Mineral – 20 L – ISO VG 46,NMC-LUB-HYDOIL-0E20E898,
record,missing-identity-attribute,CPCL,MAT100071,"CABLE 1.1 kV, XLPE",SAIL/S100455 (sim 0.97): CABLE / XLPE / 1.1 kV || IOCL/RM-00076 (sim 0.81): Cable – XLPE – 1.1 kV – 4C x 10 sqmm || GAIL/GLM-CB-0005 (sim 0.81): CABLE 1.1 KV XLPE 3CX2.5 MM2,PROVISIONAL-CABLE-SAIL-S100455,
record,missing-identity-attribute,SAIL,S100469,CABLE / 1.1 kV / 3C-4.0SQMM,SAIL/S100476 (sim 0.86): CABLE / 2C-1.5SQMM / 1.1 kV / PVC || IOCL/RM-00072 (sim 0.75): Cable – 1.1 kV – 3C x 2.5 sqmm – XLPE || SAIL/S100462 (sim 0.74): CABLE / 1.1 oV / 3C-2.5SQMM / XLPE,PROVISIONAL-CABLE-SAIL-S100476,
record,missing-identity-attribute,SAIL,S100455,CABLE / XLPE / 1.1 kV,"CPCL/MAT100068 (sim 0.82): CABLE 3C x 2.5, XLPE, 1.1 kV || GAIL/GLM-CB-0005 (sim 0.81): CABLE 1.1 KV XLPE 3CX2.5 MM2 || IOCL/RM-00076 (sim 0.81): Cable – XLPE – 1.1 kV – 4C x 10 sqmm",NMC-ELEC-CABLE-2CFB332A,
record,missing-identity-attribute,SAIL,S100462,CABLE / 1.1 oV / 3C-2.5SQMM / XLPE,"CPCL/MAT100068 (sim 0.80): CABLE 3C x 2.5, XLPE, 1.1 kV || GAIL/GLM-CB-0005 (sim 0.79): CABLE 1.1 KV XLPE 3CX2.5 MM2 || SAIL/S100483 (sim 0.76): CABLE / XLPE / 4C-10SQMM",NMC-ELEC-CABLE-2CFB332A,
record,missing-identity-attribute,SAIL,S100483,CABLE / XLPE / 4C-10SQMM,"IOCL/RM-00076 (sim 0.77): Cable – XLPE – 1.1 kV – 4C x 10 sqmm || NTPC/EGW000069 (sim 0.73): Cable, 3C X 4.0 Sq mm, 1.1 kV, XLPE || NTPC/EGW000068 (sim 0.71): Cable, XLPE, 1.1 kV, 3C X 2.5 Sq mm",NMC-ELEC-CABLE-E4C6BA97,
record,missing-identity-attribute,CPCL,MAT100075,"CONTACTOR 3 pole, 65 A",SAIL/S100518 (sim 0.83): CONTACTOR / 3 pole / 230 V AC / 65 A || IOCL/RM-00081 (sim 0.82): Contactor – 65 A – 3 pole – 230 V AC || SAIL/S100525 (sim 0.63): CONTACTOR / 230 V AC / 65 A,NMC-ELEC-CONTR-14066646,
record,missing-identity-attribute,CPCL,MAT100069,CABLE 3C x 4.0,"IOCL/RM-00073 (sim 0.87): Cable – 3C x 4.0 sqmm – 1.1 kV || NTPC/EGW000069 (sim 0.79): Cable, 3C X 4.0 Sq mm, 1.1 kV, XLPE || SAIL/S100469 (sim 0.72): CABLE / 1.1 kV / 3C-4.0SQMM",NMC-ELEC-CABLE-ED49C1ED,
record,missing-identity-attribute,NTPC,EGW000073,"Motor, 1440 RPM, B-3, 3-Phase","NTPC/EGW000072 (sim 0.95): Motor, B-3, 5 HP, 1440 RPM, 3-Phase || IOCL/RM-00077 (sim 0.92): Motor – 5 HP – 1440 RPM – 3 Phase – Foot Mounted B3 || IOCL/RM-00079 (sim 0.92): Motor – 10 HP – 1440 RPM – Foot Mounted B3 – 3 Phase",NMC-ELEC-MOTOR-9F63F782,
record,missing-identity-attribute,NTPC,EGW000072,"Motor, B-3, 5 HP, 1440 RPM, 3-Phase","SAIL/S100490 (sim 0.93): INDUCTION MOTOR / B3 / 5 HP / 1440 RPM / 3 PHASE || IOCL/RM-00077 (sim 0.93): Motor – 5 HP – 1440 RPM – 3 Phase – Foot Mounted B3 || CPCL/MAT100072 (sim 0.91): INDUCTION MOTOR 3 PH, 1440 RPM, B3, 5 HP",NMC-ELEC-MOTOR-084F0739,
record,missing-identity-attribute,IOCL,RM-00083,Mcb – 4P – 415 V,"CPCL/MAT100076 (sim 0.80): MCB 415 V, 32 A, 4P, C curve || SAIL/S100539 (sim 0.78): MCB / 32 A / 415 V / C curve / 4P || NTPC/EGW000075 (sim 0.77): Mcb, 4P, 32 A, 415 V, C curve",NMC-ELEC-MCB-3B29D363,
record,missing-identity-attribute,CPCL,MAT100074,CONTACTOR 32 A,"IOCL/RM-00080 (sim 0.60): Contactor – 32 A – 230 V AC – 4 pole || SAIL/S100511 (sim 0.58): CONTACTOR / 4 pole / 32 A / 230 V AC || NTPC/EGW000074 (sim 0.48): Contactor, 230 V AC, 4 pole",NMC-ELEC-CONTR-E06094F6,
record,missing-identity-attribute,NTPC,EGW000074,"Contactor, 230 V AC, 4 pole",SAIL/S100532 (sim 0.92): CONTACTOR / 4 pole / 65 A / 230 V AC || IOCL/RM-00080 (sim 0.92): Contactor – 32 A – 230 V AC – 4 pole || IOCL/RM-00082 (sim 0.92): Contactor – 230 V AC – 65 A – 4 pole,NMC-ELEC-CONTR-DADD3F34,
record,missing-identity-attribute,IOCL,RM-00075,Cable – PVC – 1.1 kV,SAIL/S100476 (sim 0.85): CABLE / 2C-1.5SQMM / 1.1 kV / PVC || IOCL/RM-00074 (sim 0.78): Cable – 1.1 kV – PVC – 2C x 1.5 sqmm || SAIL/S100469 (sim 0.69): CABLE / 1.1 kV / 3C-4.0SQMM,PROVISIONAL-CABLE-SAIL-S100476,
record,missing-identity-attribute,NTPC,EGW000070,"Cable, P.V.C., 2C X 1.5 Sq mm",IOCL/RM-00074 (sim 0.84): Cable – 1.1 kV – PVC – 2C x 1.5 sqmm || SAIL/S100476 (sim 0.72): CABLE / 2C-1.5SQMM / 1.1 kV / PVC || SAIL/S100469 (sim 0.57): CABLE / 1.1 kV / 3C-4.0SQMM,NMC-ELEC-CABLE-E325F00D,
record,missing-identity-attribute,SAIL,S100476,CABLE / 2C-1.5SQMM / 1.1 kV / PVC,IOCL/RM-00074 (sim 0.85): Cable – 1.1 kV – PVC – 2C x 1.5 sqmm,NMC-ELEC-CABLE-E325F00D,
record,missing-identity-attribute,SAIL,S100525,CONTACTOR / 230 V AC / 65 A,SAIL/S100518 (sim 0.90): CONTACTOR / 3 pole / 230 V AC / 65 A || SAIL/S100532 (sim 0.88): CONTACTOR / 4 pole / 65 A / 230 V AC || IOCL/RM-00081 (sim 0.86): Contactor – 65 A – 3 pole – 230 V AC,NMC-ELEC-CONTR-14066646,
record,missing-identity-attribute,IOCL,RM-00073,Cable – 3C x 4.0 sqmm – 1.1 kV,"SAIL/S100469 (sim 0.85): CABLE / 1.1 kV / 3C-4.0SQMM || NTPC/EGW000069 (sim 0.84): Cable, 3C X 4.0 Sq mm, 1.1 kV, XLPE || SAIL/S100476 (sim 0.77): CABLE / 2C-1.5SQMM / 1.1 kV / PVC",NMC-ELEC-CABLE-72B9E76B,
record,missing-identity-attribute,SAIL,S100546,MCB / 2P / C curve / 415 V,IOCL/RM-00085 (sim 0.93): Mcb – C curve – 415 V – 63 A – 2P,NMC-ELEC-MCB-CF77C627,
record,missing-identity-attribute,CPCL,MAT100084,"CENTRIFUGAL PUMP MECH, 25 m3/hr, 32 m","CPCL/MAT100085 (sim 0.93): CENTRIFUGAL PUMP MECH, 5.5 kW, 25 m3/hr, 32 m || NTPC/EGW000087 (sim 0.91): Centrifugal Pump, 25 m3/hr, Mech., 32 m, 3.7 kW || SAIL/S100616 (sim 0.87): CENTRIFUGAL PUMP / 32 m / 25 m3/hr / MECH / 3.7 kW",NMC-PMP-CENT-E25418B5,
record,missing-identity-attribute,NTPC,EGW000090,"Gear Pump, Gland, 1.5 kW, 10 bar","SAIL/S100644 (sim 0.91): GEAR PUMP / 10 bar / 0.5 LPM / 1.5 kW / GLAND || CPCL/MAT100086 (sim 0.85): GEAR PUMP 1.5 kW, 10 bar, 0.5 LPM || SAIL/S100637 (sim 0.83): GEAR PUMP / GLAND / 1.5 kW / 0.5 LPM",NMC-PMP-GEAR-3E7025AA,
record,missing-identity-attribute,NTPC,EGW000089,"Centrifugal Pump, 50 m, 45 m3/hr","NTPC/EGW000088 (sim 0.90): Centrifugal Pump, 45 m3/hr, 50 m, Mech. || SAIL/S100630 (sim 0.86): CENTRIFUGAL PUMP / MECH / 7.5 kW / 45 m3/hr / 50 m || SAIL/S100623 (sim 0.84): CENTRIFUGAL PUMP / 7.5 kW / 45 m3/hr / 50 m / MECH",PROVISIONAL-CENTRIFUGAL-PU-NTPC-EGW000088,
record,missing-identity-attribute,NTPC,EGW000088,"Centrifugal Pump, 45 m3/hr, 50 m, Mech.",SAIL/S100630 (sim 0.88): CENTRIFUGAL PUMP / MECH / 7.5 kW / 45 m3/hr / 50 m || SAIL/S100623 (sim 0.86): CENTRIFUGAL PUMP / 7.5 kW / 45 m3/hr / 50 m / MECH || IOCL/RM-00097 (sim 0.69): Centrifugal Pump – 45 m3/hr – 7.5 kW – 50 m – Mechanical Seal,NMC-PMP-CENT-55E26E83,
record,missing-identity-attribute,NTPC,EGW000055,"Erw Pipe, E.R.W., 4"" NB, IS 1239","CPCL/MAT100056 (sim 0.92): PIPE ERW IS 1239, ERW, SCH 40, 4"" NPS || SAIL/S100385 (sim 0.91): PIPE ERW / IS-1239 / SCH 40 / 4 INCH NB / ERW || IOCL/RM-00058 (sim 0.85): Erw Pipe – 4"" NPS – SCH 40 – IS:1239 – ERW",NMC-PIPE-2405518A,
